Name	Instructions	Difficulty	Impact	Muscle Group(s)	Easier Modification	Harder Modification	Equipment Required	Is Stretch	Link
jumping-jacks	This is a good exercise to use as a heart raiser during your warm up and it can also be used as a cardio movement during your workouts. Before starting, make sure you are standing on a safe, flat surface and that there is space around you to jump your feet out sideways, as well as swing your arms out to the sides.	Easy	High	shoulders, calves, quadriceps	To make this exercise easier, try just doing the leg component of the drill for a bit, then keep your legs still and try the arm movement by itself too. Once you have mastered them on their own, try adding them together. 	After warming-up, try our Star Jumps and Squat Jacks as a more intense version of this cardio exercise.	N/A	False	https://sworkit.com/exercise/jumping-jacks
hurdles-right	Stand tall with feet at hip-width. Lift your right knee up to hip height, at the same time step to your right so your hips twist to the right. You should end up with feet at shoulder width and your whole body no facing to your right. Imagine you are facing north at the start of the exercise. You should finish facing due east. Step back to the beginning and repeat.	Easy	Low	glutes, hamstrings	Try the following to make it easier.	N/A	N/A	False	https://sworkit.com/exercise/hurdles-right
abdominal-stretch	Start by standing up tall and reach your arms up straight above your head. Interlace your fingers and rotate your palms up towards the ceiling. From here reach up as high as you can whilst keeping your feet flat to the floor and pushing your hips forwards slightly to lengthen the front of your body and stretch your abs.	Easy	Low	abs	To increase the stretch on your abs try our Upward Facing Dog exercise from our yoga series.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	True	https://sworkit.com/exercise/abdominal-stretch
dumbbell-hanging-goblet-squat	Stand with feet wider than shoulder width apart, toes turned out slightly. Hold the dumbell in both hands on one end at hip height. Squat down by driving your hips back and down, bending your knees and keep your chest up.	Medium	Normal	glutes, quadriceps	For a less intense version of this exercise, try our bodyweight Sumo Squat.	To make this exercise more challenging, use a heavier weight or switch to holding two dumbbells at shoulder height like in our Dumbbell Squats Front exercise.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-hanging-goblet-squat
vertical-arm-rotations	Stand upright with your feet at shoulder width and a slight bend in your knees. Then raise your are up vertically so that your biceps are nxt to your ears. From here, make small &#8216;soccer ball&#8217; size circles by rotating your arms above your head. Perform 3-4 in one direction and 3-4 in the opposite direction and keep changing for the duration of the exercise.	Easy	Low	triceps, biceps, shoulders	N/A	N/A	N/A	False	https://sworkit.com/exercise/vertical-arm-rotations
neck-stretch	In a tall, upright, standing position, place your left hand up on top of your head so that your elbow points out sideways. Then keeping your shoulders horizontal, gently pull your head down to the left as if you are putting your left ear down onto your left shoulder. Whilst doing this, place your right arm on your right hip to help keep your hips and shoulders horizontal. Repeat the stretch on the other side.	Easy	Low	shoulders	You can make this stretch even more gentle by not using your hand to pull your head down to the same side, instead, just tip your head to the side and left gravity and the weight of your head stretch the side neck muscles.	You can increase this stretch by holding a weight in your opposite arm or by anchoring your opposite arm by holding onto the seat of a chair or bench. Also check out our Neck Rotation Stretch.	chair	True	https://sworkit.com/exercise/neck-stretch
super-skater-jump	Stand tall with feet shoulder-width apart. Quickly step your right foot out wide to the side. Follow with your left foot, raising your left knee and jumping off your right foot, swinging your right arm up in front of you. As soon as your right foot touches back down on the floor, step your left leg wide and repeat on the other side. 	Hard	High	hamstrings	Try the following to make it easier.	N/A	N/A	False	https://sworkit.com/exercise/super-skater-jump
jump-squats	Set yourself up as you would for a regular squat, feet at shoulder width, with you weight in your heels. Then to lower yourself into the bottom of the squat position, sit your hips backwards and down as you bend your knees whilst keeping a neutral spine with your chest upright and open. As you lower down, lift your arms up in front of you to shoulder height. Once you get to the bottom of your squat, your hips should be at knee height. 	Hard	High	calves, glutes, quadriceps	To prepare for the complexity and impact of Jump Squats, try some regular Squats and Forward Lunges first. 	Once you have mastered squats standing on two legs, check out our Single Leg Squats exercise. 	N/A	False	https://sworkit.com/exercise/jump-squats
wide-leg-stance-arms-up	From a standing position, pull your belly button to your spine for core activation. Step your feet out wide ensuring the whole of your foot is firm to the ground. Push your feet into the ground and draw them slightly toward one another. Reach your arms out wide and trace a big circle until reaching straight upwards. To come out bring your arms back and then step back to center.	Easy	Normal	triceps, upper back, shoulders, glutes, hamstrings	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/wide-leg-stance-arms-up
kettlebell-renegade-row-right	Begin in a push-up position with your core tight and your back straight. Pull your shoulder blades back (try to pinch them together) and hold the kettlebell in your right hand. Pull the kettlebell up to your stomach by lifting your elbow straight back. Keep your elbow tucked to your side. Control the kettlebell on the way back down. 	Easy	Normal	abs, upper back, lower back, chest, shoulders, calves, glutes	To modify this motion try dropping down to your knees and completing the same motion. Another alternative is our Kettlebell One-Arm Row. 	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-renegade-row-right
